"A_ANSWER","Antwoord:","Answer:"
"M_ANALYSIS1","T-toets onafhankelijke variabelen","T-test for independent samples"
"M_ANALYSIS2","T-toets voor gekoppelde paren","T-test for paired samples"
"M_ANALYSIS3","One-way ANOVA","One-way ANOVA"
"M_ANALYSIS4","Two-way ANOVA","Two-way ANOVA"
"M_ANALYSIS5","Repeated Measures Anova","Repeated Measures Anova"
"M_ANALYSIS6","Multipele-regressieanalyse","Multiple-regression analysis"
"M_ANALYSIS7","MANOVA","MANOVA"
"M_ANALYSIS8","ANCOVA","ANCOVA"
"M_ANALYSIS9","Multivariate RMANOVA","Multivariate RMANOVA"
"M_ANALYSIS10","Dubbel multivariate RMANOVA","Dubble multivariate RMANOVA"
"M_REPORT1","Elementair rapport (oefenmodus)","Elementary report (practice mode)"
"M_REPORT2","Elementair rapport (tentamenmodus)","Elementary report (examination mode)"
"M_REPORT3","Beknopt rapport","Summary report"
"M_APOLOGIES","Sorry, bij ","Sorry, "
"Q_INTRO","Hoi, met dit programma kan je elementaire en beknopte rapporten oefenen. Klik op de knop hieronder om verder te gaan.","Hey, this program allows you to practice both elementary and summary reports. Click the button below to progress."
"Q_COMPLETION","Gefeliciteerd, je rapport is af! Klik op de knop hieronder om verder te gaan.","Congratulations! Your report is finished. Click the button below to progress."
"Q_CHOICE","Voer hieronder het soort opgave in dat je wil oefenen.","Enter the type of assignment you want to practice below. "
"Q_IND","Beschrijf de onafhankelijke variabele.","Describe the independent variable."
"Q_DEP","Beschrijf de afhankelijke variabele.","Describe the dependent variable."
"Q_MEASURE","Beschrijf de mate van controle.","Describe the level of control."
"Q_TABLE","Voer de ondestaande tabel in.","Fill out the table below."
"Q_HYP","Voer de nulhypothese in, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis, formulated with “H0” and “mu”."
"Q_DF","Voer het aantal vrijheidsgraden in.","Enter the degrees of freedom."
"Q_RAW","Voer het ruwe effect in dat je hebt berekend.","Enter the raw effect."
"Q_RELATIVE","Voer het relatieve effect in dat je hebt berekend.","Enter the relative effect."
"Q_T","Voer de T-waarde in.","Enter the value of T."
"Q_P","Voer de p-waarde in.","Enter the value of p."
"Q_DECISION","Voer de beslissing in.","Enter the decision."
"Q_INTERPRET","Voer de causale interpretatie in.","Enter the causal interpretation."
"Q_IND1","Beschrijf de eerste onafhankelijke variabele.","Enter the first independent variable. "
"Q_IND2","Beschrijf de tweede onafhankelijke variabele.","Enter the second independent variable. "
"Q_HYP1","Voer de nulhypothese in voor de eerste onafhankelijke variabele, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis for the first variable formulated with “H0” and “mu”."
"Q_HYP2","Voer de nulhypothese in voor de tweede onafhankelijke variabele, geformuleerd met ""H0"" en ""mu"".","Enter the null hypothesis for the second variable formulated with “H0” and “mu”."
"Q_HYPINT","Voer de interactienulhypothese in. Je mag deze inkorten door alleen de eerste en laatste vergelijking van de hypothese te geven. ","Enter the interaction null hypothesis. You may abbreviate this one by only writing the first and last equation."
"Q_DEPRM","Beschrijf de afhankelijke variabele (het aantal metingen per persoon hoef je niet te geven). ","Describe the dependent variable (it’s not necessary to give the number of measurements per person)."
"I_CREATE","Maak een ","Create a"
"I_SUBJECTBETWEEN","De proefpersonen doen een experiment, waarin ze worden ingedeeld op hun ","The subjects take part in an experiment, being sorted based on their "
"I_SUBJECTWITHIN","De proefpersonen doen allemaal mee aan een experiment, met als ","The subjects all take part in an experiment, with "
"I_RANDOMBETWEEN","De personen van elke groep zijn willekeurig geselecteerd. ","The persons of all groups were selected randomly. "
"I_RANDOMWITHIN","De volgorde van de toetsen was gerandomiseerd. ","The order of the tests was randomized. "
"I_DECIMALS","Voer je antwoorden alsjeblieft tot op 2 decimalen in, en gebruik dezelfde vergelijking van de gemiddelden in je antwoord als in de vraagstelling staat (e.g. ""groter"" of ""kleiner""). ","Enter your answers with two decimals, and use the same comparison of means in your answer as you can read in the question (e.g. “smaller”). "
"A_ONEINT","Experiment, dus er is slechts een verklaring mogelijk. Dit is namelijk dat ","Experiment, so only one explanation is possible. The primary explanation is that "
"A_MULTINT","Geen experiment, dus er zijn meerdere verklaringen mogelijk. De primaire verklaring is dat ","No experiment, so multiple explanations are possible"
"A_ALTINT","De alternatieve verklaring is dat ","The alternative explanation is that "
"I_FULLRANDOM","De deelnemers zijn willekeurig gekozen voor beide factoren. ","The participants are sorted randomly for both factors"
"I_RANDOMFACTOR","De deelnemers zijn willekeurig verdeeld bij de factor ","The participants are sorted randomly for factor "
"A_TRUESCORES","h0: De personen hebben gelijke ware scores op de opgevoerde meting in de populatie.","H0: The persons have the same true scores for the boosted measurement in the population"
"A_JACKEDMEANS","de opgevoerde gemiddelden van de personen in de populatie zijn ","The boosted measurements in the population are"
"I_DIMENSIONS","De afhankelijke variabelen zijn dimensies van de variabele ","The dependent variables are dimensions of the variable "
"I_CONTAINSFACTORS","Dit onderzoek bevat de factoren ","This experiment contains the factors "
"I_DEP","De afhankelijke variabele is","The dependent variable is "
"A_EXPERIMENTAL","Experimenteel","Experimental"
"A_PASSIVE","Passief-observerend","Passive observation"
"F_CORRECT","Mooi, deze beschrijving klopt.","Nice, the description is correct"
"F_INCOMPLETE","Er ontbreekt nog wat aan je antwoord, namelijk:","Something is missing in your answer, namely"
"F_IND"," -de juiste onafhankelijke variabele"," -the right independent variable"
"F_MEASURE"," -het juiste meetniveau"," -the right level of measurement"
"F_1LEVEL"," -één niveau van de onafhankelijke variabele"," -one level of the independent variable"
"F_2LEVEL"," -beide niveaus van de onafhankelijke variabele"," -both levels of the independent variable"
"F_ISFACTOR"," -de uitspraak dat deze variabele een factor is"," -the statement that this variable is a factor"
"F_DOMAIN"," -het domein van de variabele"," -the variable’s domain"
"F_VARNAME"," -de naam van de variabele"," -the variable’s name"
"F_SOMELEVEL"," -enkele niveaus van de onafhankelijke variabele"," -some levels of the independent variable"
"F_DEP"," -de juiste afhankelijke variabele"," -the right dependent variable"
"F_NOX"," -ten onrechte gesteld dat het onderzoek geen experiment is"," -falsely stated that the study is not an experiment"
"F_EX"," -ten onrechte gesteld dat het onderzoek een experiment is"," -falsely stated that the study is an experiment"
"F_PAS"," -ten onrechte gesteld dat het onderzoek passief-observerend is"," -falsely stated that the study is not passive observation"
"F_NPAS"," -ten onrechte gesteld dat het onderzoek niet passief-observerend is"," -falsely stated that the study is passive observation"
"F_X"," -de uitspraak of het onderzoek een experiment is of niet"," -the statement whether or not the study is an experiment"
"F_ALLVALS"," -Alle juiste waarden van "," -all the right values of"
"F_ONEVAL"," -Een juiste waarde van"," -a right value of"
"F_RIGHTVAL"," -De juiste waarde van"," -the right value of"
"F_H0SIGN"," -het ""H0:"" teken"," -the “H0:” sign"
"F_COMPARISON"," -het juiste vergelijkingsteken"," -the right comparison sign"
"F_ORDER"," -de symbolen staan niet in de juiste volgorde"," -the symbols are not in the right order"
"F_AVGSMULTI"," -de populatiegemiddelden"," -the population means"
"F_AVGSONE"," -ten minste één van de populatiegemiddelden"," -at least one of the population means"
"F_SOMESIGNS"," -enkele tekens voor populatiegemiddelden"," -some signs representing the population means"
"F_ALLSIGNS"," -alle tekens voor populatiegemiddelden "," -all signs representing the population means"
"F_SCORES"," -niet gesteld dat het om de scores van de personen gaat"," -not stated that this concerns the subjects’ scores"
"F_EQUALSCORES"," -niet gesteld dat de personen gelijke scores hebben"," -not stated that the subjects have equal scores"
"F_JACKEDSCORES"," -niet gesteld dat het om de opgevoerde metingen gaat"," -not stated that this concerns the boosted measurements"
"F_POP"," -er wordt niet aangegeven dat het om de populatie gaat"," -not stated that this is about the population"
"F_ALLSTD"," -alle juiste standaardeviaties"," -all correct standard deviations"
"F_SOMESTD"," -één juiste standaardeviatie"," -some correct standard deviations"
"F_MANEXP"," -niet genoemd hoeveel mogelijke verklaringen er zijn"," -not stated how many possible explanations there are"
"F_PRIMEXP"," -de primaire verklaring wordt niet genoemd"," -not named the primary explanation"
"F_ALTEXP"," -de alternatieve verklaring wordt niet genoemd"," -not named the alternative explanation"
"F_MANINT"," -niet genoemd hoeveel mogelijke interpretaties er zijn"," -not named the number of possible interpretations"
"F_MANPRIM"," -de primaire verklaring wordt niet genoemd"," -the primary explanation"
"F_MANALT"," -de mogelijkheid van alternatieve verklaringen wordt niet genoemd"," -the possibility of alternative explanations"
"F_INDROLE"," -de rol van de onafhankelijke variabele wordt niet juist genoemd"," -the role of the independent variable"
"F_DEPROLE"," -de rol van de afhankelijke variabele wordt niet juist genoemd"," -the role of the dependent variable"
"F_WHATFACTOR1"," -niet genoemd wat voor factor de eerste onafhankelijke variabele is"," -what kind of factor the first independent variable is"
"F_WHATFACTOR2"," -niet genoemd wat voor factor de tweede onafhankelijke variabele is"," -what kind of factor the second independent variable is"
"F_DEP1"," -eerste afhankelijke variabele niet juist genoemd"," -the first dependent variable"
"F_DEP2"," -tweede afhankelijke variabele niet juist genoemd"," -the second dependent variable"
"F_DEP3"," -derde afhankelijke variabele niet juist genoemd"," -the third dependent variable"
"F_ALLDEPS"," -niet alle aparte afhankelijke variabelen juist genoemd"," -not named all the dependent variables"
"F_NOMULTIVAR"," -de multivariate beslissing wordt niet genoemd"," -the multivariate decision"
"F_NOMULTIVARWS"," -de multivariate within-subject beslissing wordt niet genoemd"," -the multivariate within-subject decision"
"F_NOMULTIVARINT"," -de interactiebeslissing wordt niet genoemd"," -the interaction decision"
"F_NOMULTIVARBS"," -de between-subject beslissing wordt niet genoemd"," -the between-subject decision"
"F_HYPSWITCH"," -ten onrechte gesteld dat de hypothese wordt verworpen als deze wordt behouden of andersom"," -incorrectly stated that the hypothesis is rejected or maintained"
"F_INTSWITCH"," -ten onrechte gesteld dat de interactiehypothese wordt verworpen als deze wordt behouden of andersom"," -incorrectly stated that the interactionhypothesis is rejected or maintained"
"F_HYPFACTOR"," -ten onrechte gesteld dat de hypothese van factor "," -incorrectly stated that the hypothesis is rejected or maintained for factor"
"F_NOHYP"," -hypothese niet genoemd"," -the hypothesis"
"F_NOFACTOR"," -hypothese van factor "," -the hypothesis of factor"
"F_NOSUBJ"," -hypothese van de subjecten niet genoemd"," -the hypothesis of the subjects"
"F_INTHYP"," -de interactiehypothese wordt niet genoemd"," -the interaction hypothesis"
"F_EFFECTSIGN"," -niet genoemd of het effect significant is"," -whether the effect is significant"
"F_NEGEFFECT"," -ten onrechte een negatie toegevoegd of weggelaten bij de beschrijving van het effect"," -incorrectly left out or added a negation while describing the effect"
"F_DECISION"," -niet genoemd dat de beslissing"," -not named that the decision"
"F_INDEPLEVELS"," -de niveaus van de onafhankelijke variabele "," -the levels of the independent variable"
"F_INDEPLEVEL"," -enkele niveaus van de onafhankelijke variabele "," -some levels of the independent variable"
"F_PROPVARNONULL"," -niet genoemd of het proportie verklaarde variantie significant groter dan nul is"," -not stated whether the proportion of variance is larger than zero"
"F_PROPVARNEG"," -ten onrechte een negatie toegevoegd of weggelaten bij de beslissing over het proportie verklaarde variantie"," -incorrectly left out or added a negation while describing the proportion of variance"
"F_PROPVARSIGN"," -niet genoemd of het verschil van het proportie verklaarde variantie met nul significant is"," -not stated whether the proportion of variance is significantly larger than zero"
"F_PROPVAR"," -het proportie verklaarde variantie word niet genoemd"," -the proportion declared variance"
"F_PROPVARCOMP"," -nul niet genoemd bij de vergelijking van het proportie verklaarde variantie"," -not compared the proportion of variance with zero"
"F_PROPVARNULL"," -het proportie verklaarde variantie word niet juist vergeleken met nul"," -incorrectly compared the proportion of variance with zero"
"F_INTDECISION"," -niet gesteld dat de interactiebeslissing over interactie gaat"," -not stated that the interaction decision concerns interaction"
"F_INTNEG"," -ten onrechte een negatie toegevoegd of weggelaten"," -incorrectly left out or added a negation"
"F_INTPOP"," -niet gesteld dat de interactiebeslissing over de populatie gaat"," -not stated that the interaction decision concerns the population"
"F_INDINT"," -de onafhankelijke variabelen ontbreken bij de interactiebeslissing"," -the independent variables are missing from the interaction decision"
"F_IND1INT"," -een van de onafhankelijke variabelen ontbreekt bij de interactiebeslissing"," -one independent variable is missing from the interaction decision"
"F_BOTHPOP"," -zowel ""populatie"" en ""significant"" genoemd, haal een van de twee weg"," -named both “population” and “interaction”, please remove one"
"F_PRED"," -significant voorspellende waarde niet genoemd in de hoofdbeslissing"," -the significant predictive value in the main decision"
"F_2COV"," -beide covariaten niet genoemd in de hoofdbeslissing"," -both covariates in the main decision"
"F_1COV"," -een van de covariaten niet genoemd in de hoofdbeslissing"," -one covariate in the main decision"
"F_POPLEVELS"," -niveaus in de populatie niet of niet juist met elkaar vergeleken"," -the correct comparison between the levels of the independent variable in the population"
"F_DECAVGS"," -niet genoemd dat de beslissing om gemiddelden gaat"," -not stated that the decision concerns means"
"F_DECPOP"," -niet gesteld dat de beslissing over de populatie gaat"," -not stated that the decision concerns the population"
"F_JACKEDMEANS"," -niet gesteld dat het over de opgevoerde gemiddelden gaat"," -not stated that the decision concerns the boosted means"
"F_XINTS"," -niet juist genoemd hoeveel mogelijke interpretaties er zijn"," -incorrectly stated the number of possible interpretations"
"F_EFFECTCAUSE"," -er wordt niet gesproken over de oorzaak van het effect"," -not stated the cause of the effect"
"F_CAUSEVARS"," -het causale verband tussen de afhankelijke en onafhankelijke variabele is niet juist aangegeven"," -incorrectly stated the causal connection between the independent and dependent variables"
"F_NOPRIMVAR"," -de primaire verklaring wordt niet genoemd"," -the primary explanation is missing"
"F_SAMEEFFECT"," -niet gesteld of de invloed van een van de factoren op de afhanklijke variabele hetzelfde is bij beide niveaus van de andere factor"," -not stated that the influence of one factor on the dependent variable is the same as the other"
"F_NOLEVELS"," -beide niveaus van een van de onafhankelijke variabelen worden nog niet genoemd"," -both levels of one of the independent variables are missing"
"F_NOLEVELS1"," -de niveaus van een van de onafhankelijke variabelen worden nog niet genoemd"," -the levels of one of the independent variables are missing"
"F_NOCAUSE"," -niet duidelijk genoemd hoe het effect wordt veroorzaakt"," -the cause of the effect"
"F_NOALT"," -de alternatieve verlaring wordt niet genoemd"," -the alternative explanation"
"F_WRONGCAUSATION"," -de relatie tussen de onafhankelijke en afhankelijke variabele is niet geldig hier omdat dit een alternatieve verklaring is"," -the relationship between the independent and dependent variables is incorrect here since this concerns an alternative explanation"
"F_NODISTURBANCE"," -niet gesteld dat storende variabelen een mogelijkheid zijn voor de alternatieve verklaring"," -not stated that one possibility for the alternative explanation is interfering variables"
"F_NOREVERSECAUSE"," -niet gesteld dat ongekeerde causaliteit een mogelijkheid is voor de alternatieve verklaring"," -not stated that one possibility for the alternative explanation is reversed causality"
"F_RIGHTP"," -de juiste p-waarde van "," -the right p-value of"
"F_ANALYSIS"," -naam van de analyse niet juist genoemd"," -the name of the analysis isn’t stated correctly"
"F_STRENGTH"," -de sterkte van het effect "," -the effect strength"
"S_SHORTONLY"," kan je alleen een beknopt rapport maken."," can only be used to make a summary report"
"S_VAR1"," voor de eerste onafhankelijke variabele.","for the first independent variable"
"S_VAR2"," voor de tweede onafhankelijke variabele.","for the second independent variable"
"S_VARINT"," voor de interactie","for the interaction"
"S_CONDITIONS"," van de condities","of the condition"
"S_SUBJECTS"," van de subjecten","of the subjects"
"S_DATAHYP"," rapport van onderstaande data voor de hypothese dat ","report of the data below for the hypothesis that "
"S_BIGGER"," gemiddeld groter is dan die bij "," is larger on average than that of "
"S_SMALLER"," gemiddeld kleiner is dan die bij "," is smaller on average than that of "
"S_UNEQUAL"," gemiddeld ongelijk is aan die bij "," is unequal on average to that of "
"S_GROUPS"," in de groepen "," in the groups "
"S_AND"," en "," and "
"S_OR"," of "," or "
"S_BOTH"," zowel "," both "
"S_BOTHAND"," als "," and "
"S_RANDOM"," zijn willekeurig geselecteerd. ","have been selected randomly"
"S_STRONG","sterk","strong"
"S_MEDIUM","matig","average"
"S_SMALL","klein","small"
"S_REJECTED","verworpen","rejected"
"S_KEPT","behouden","maintained"
"S_EFFECTIS","Het effect is ","The effect is"
"S_AVGIS","het populatiegemiddelde van ","the population average of"
"S_IS"," is","is"
"S_THAN"," dan dat van","than that of"
"S_INFLUENCES"," invloed heeft op ","influences"
"S_DISTURBANCE"," wel beinvloedt, maar dat dit niet merkbaar is door een storende variabele.","the former influences the latter, but this is not noticeable because of an interfering variable"
"S_VARSARE","de variabelen zijn","the variables are"
"S_WITHLEVELS"," met niveaus "," with levels "
"S_NULL","H0","H0"
"S_AVGSARE",", de populatiegemiddelden van ",", the population averages of"
"S_AREAVG","zijn gemiddeld","are on average"
"S_NOT","niet","not"
"S_DISTURBANCE2","Eventuele alternatieve verklaringen zijn storende variabelen of omgekeerde causaliteit. ","Eventual alternative explanations are interfering variables or reversed causality"
"S_FACTOR","van factor","of factor"
"S_PREDICTORS"," als predictoren"," as predictors"
"S_CRITERIUM"," als criterium"," as criterum"
"S_NAMELY","namelijk","namely"
"S_LACKING","ontbreken","are missing"
"S_COMP1","bij de eerste vergelijking","for the first equation"
"S_COMP2","bij de laatste vergelijking","for the last equation"
"S_THE","de","The effect is"
"S_FROMABOVE","van boven","from above"
"S_NONAME"," wordt niet genoemd","is missing"
"S_PREDICTOR"," predictor","predictor"
"S_INDES","in het design","in the design"
"S_INTERACT","bij de interactie","for the interaction"
"S_WITHINFACTOR","bij de within-subject factor","for the within-subject factor"
"S_BETWEENFACTOR","bij de between-subject factor","for the between-subject factor"
"S_SWITCHEROO"," wordt verworpen als deze wordt behouden of andersom","is rejected when it should be maintained or the other way around"
"S_DOUBLEPOP","zowel ""populatie"" en ""significant"" genoemd, haal een van de twee weg","named both “population” and “significant”, please remove one of the two"
"S_LEVELS","niveaus","levels"
"S_BADCOMPARED","in de populatie niet of niet juist met elkaar vergeleken","not compared correctly in the population"
"S_POPAVGS","om populatiegemiddelden gaat","concerns the population averages"
"S_OVERPOP","over de populatie gaat","concerns the population"
"S_NONAMES","worden niet genoemd","are missing"
"S_LEFTOUT","weggelaten","missing"
"S_SIGNEFFECT"," of het effect significant is","whether the effect is significant"
"S_NORIGHTNAME"," wordt niet juist genoemd","isn’t named correctly"
"S_MAINDEC","van de hoofdbeslissing","of the main decision"
"S_INTDEC"," bij de interactiebeslissing","for the interaction decision"
"S_SUBDEC"," bij het vergelijken van de niveaus in de beslissing van de subjecten","for the comparison of the levels in the decision of subjects"
"S_PRIMEX","bij de primaire verklaring","for the primary explanation"
"S_ALTEX","bij de alternatieve verklaring","for the alternative explanation"
"S_RIGHTVALUE","de juiste waarde van","the correct value of"
"M_TITLE","Oefeningsmodule voor statistische rapporten","Statistics practice module"
"M_CHOOSEANALYSIS","Kies je analyse","Choose analysis"
"M_CHOOSEREPORT","Kies wat voor rapport je wil oefenen","Choose report"
"Q_MEASURE1","Beschrijf de mate van controle voor factor 1.","Describe the level of control for factor 1."
"Q_MEASURE2","Beschrijf de mate van controle voor factor 2.","Describe the level of control for factor 2."
"Q_HYPCON","Beschrijf de nulhypothese van de condities. ","Describe the null hypothesis of conditions. "
"Q_HYPSUB","Beschrijf de nulhypothese van de subjecten. ","Describe the null hypothesis of subjects. "
"Q_DECCON","Voer de beslissing in van de condities. ","Enter the decision for the conditions. "
"Q_DECSUB","Voer de beslissing in van de subjecten. ","Enter the decision for the subjects. "
"Q_INTERCON","Voer de causale interpretatie in voor de condities. ","Enter the causal interpretation for the conditions. "
"Q_DECISION1","Voer de beslissing van factor 1 in. ","Enter the decision of factor 1. "
"Q_DECISION2","Voer de beslissing van factor 2 in. ","Enter the decision of factor 2. "
"Q_DECISIONINT","Voer de interactiebeslissing in. ","Enter the interaction decision. "
"Q_INTERPRET1","Voer de interpretatie in van factor 1. ","Enter the causal interpretation of factor 1. "
"Q_INTERPRET2","Voer de interpretatie in van factor 2. ","Enter the causal interpretation of factor 2. "
"Q_INTERPRETINT","Voer de interpretatie van de interactie in. ","Enter the causal interpretation of the interaction. "
"B_CONTINUE","Doorgaan","Continue"
"B_NEXT","Volgende","Next"
"B_PREV","Vorige","Previous"
"B_ANSWER","Antwoord","Answer"
"Q_SHORTREPORT","Schrijf hieronder je beknopte rapport. ","Write your short report below. "
"A_SOURCE","Bron","Source"
"A_INTERACT","Interactie","Interaction"
"A_TOTAL","Totaal","Total"
"A_PERSON","Persoon","Person"
"A_MEAN","Gemiddelde","Mean"
"A_STD","Standaarddeviatie","Standard deviation"
"A_STATISTIC","Statistiek","Statistic"
"A_DIFF","Verschil","Difference"
"A_MEANS","Gemiddelden:","Means:"
"A_STDS","Standaarddeviaties:","Standard deviations:"
"A_LEVEL","Niveau","Level"
"A_OGSCORES","Originele scores:","Original scores:"
"A_BOOSTED","Opgevoerde meting","Boosted measurement"
"A_RAW","Ruw effect","Raw effect"
"A_RELATIVE","Relatief effect","Relative effect"
"A_DF","Vrijheidsgraden","Degrees of freedom"
"A_VALUE","Waarde","Value"
"A_MULTIVAR","Multivariate Tests","Multivariate Tests"
"A_WITHINCON","Tests van Within-Subject Contrasten","Tests of Within-Subjects Contrasts"
"A_BETWEEN","Tests van Between-Subject Contrasten","Tests of Between-Subjects Effects"
"A_WITHIN","Tests of Within-Subject Effects","Tests of Within-Subject Effects"
"S_WITH"," bij "," with "
"S_ELEM","elementair","n elementary "
"S_SHORT","beknopt"," short "
"S_CAND",", en ",", and "
"S_CLEVELS",", met niveaus ",", with levels "
"S_VARSARE2"," rapport van de onderstaande data. De variabelen zijn "," report of the data below. The variables are "
"I_ONERANDOM","De deelnemers zijn willekeurig verdeeld over de niveaus. ","The subjects have been divided randomly between the levels. "
"I_WITHFACTORS"," rapport van de onderstaande data. Dit onderzoek bevat de factoren "," report of the data below. This study contains the factors "
"I_DECSHORT","Voer je antwoorden alsjeblieft tot op twee decimalen in. ","Please round your answers to two decimals. "
"I_INDEP","De onafhankelijke variabele is ","The independent variable is "
"I_WITHINDEP"," rapport van de onderstaande data. De onafhankelijke variabele is "," report of the data below. The independent variable is "
"I_METWITH",", met",", with"
